Name EN,Focus Region,Language,Entity Owner EN,Parent Entity EN,X (Twitter) Handle,X (Twitter) Followers,Facebook Handle,Facebook Followers,Instagram Handle,Instagram Followers,Threads Handle,Threads Followers,YouTube Handle,YouTube Followers,TikTok Handle,TikTok Followers,Total Social Media Presence,Platform Presence Category,Total Followers,Twitter Dominance,Facebook Dominance,Instagram Dominance,Threads Dominance,YouTube Dominance,TikTok Dominance,IQR based Outlier
Chen Wendi,Somalia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHENWendi11,241,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,241,100.0,0.0,0.0,0.0,0.0,0.0,False
China Focus,Anglosphere,English,China International Communications Group (CICG),Central Publicity Department,China__Focus,61100,ChinaFocus2015,3200000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,3261100,1.9,98.1,0.0,0.0,0.0,0.0,True
Chinese Embassy in India,India,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Amb_India,96200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,96200,100.0,0.0,0.0,0.0,0.0,0.0,True
Wang Lixin,Maldives,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Amb_Mdv,20100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,20100,100.0,0.0,0.0,0.0,0.0,0.0,False
Guo Shaochun,Zimbabwe,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Amb_Zim,16400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,16400,100.0,0.0,0.0,0.0,0.0,0.0,False
Lin Jing,Anglosphere,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,CHINA_DIPLOMAT,11100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,11100,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Nigeria,Nigeria,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,china_emb_ng,4238,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,4238,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Colombia,Colombia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,china_embajada,8929,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,8929,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Lyon,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Lyon,2853,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2853,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Permanent Mission to the OPCW,Netherlands,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_OPCW,2751,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2751,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Ukraine,Ukraine,Ukrainian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China_Ukraine_,882,chinaembua,2500,chinaemb_ua,1868,Unknown,0,Unknown,0,Unknown,0,3,Medium,5250,16.8,47.6,35.6,0.0,0.0,0.0,True
"Xiamen, China",Fujian,English,Xiamen Culture and Tourism Bureau,Xiamen Municipal People's Government,china_xiamen,12900,xiamengov,396000,Unknown,0,Unknown,0,Unknown,0,visitxiamen,9,3,Medium,408909,3.2,96.8,0.0,0.0,0.0,0.0,True
CGTN China Takeaway,Anglosphere,English,China Media Group (CMG),Central Publicity Department,China24Official,2931,China24Official,1000000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1002931,0.3,99.7,0.0,0.0,0.0,0.0,True
Hou Yanqi,ASEAN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,China2ASEAN,107600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,107600,100.0,0.0,0.0,0.0,0.0,0.0,True
Cao Zhongming,Belgium,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbBelgium,9679,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,9679,100.0,0.0,0.0,0.0,0.0,0.0,False
Tan Jian,Netherlands,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbNL,2907,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2907,100.0,0.0,0.0,0.0,0.0,0.0,False
Chen Xiaodong,South Africa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbSA,52900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,52900,100.0,0.0,0.0,0.0,0.0,0.0,True
Zhang Jun,UN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaAmbUN,67800,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,67800,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Samoa,Samoa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaandsamoa,5368,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5368,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Christchurch,New Zealand,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_CC,2630,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2630,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Frankfurt am Main,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_Ffm,2908,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2908,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Munich,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_Muc,3038,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3038,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in New York,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCG_NYC,3067,Unknown,0,chinacg_nyc,71900,Unknown,0,Unknown,0,Unknown,0,2,Medium,74967,4.1,0.0,95.9,0.0,0.0,0.0,True
Chinese Consulate General in Calgary,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCGCalgary,3689,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3689,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Edinburgh,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinacgedi,3329,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3329,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Montréal,Canada,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaCGMTL,996,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,996,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Almaty,Kazakhstan,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaConsAlmaty,4228,Unknown,0,chinaconsalmaty,2670,Unknown,0,Unknown,0,Unknown,0,2,Medium,6898,61.3,0.0,38.7,0.0,0.0,0.0,True
Chinese Consulate General in Chicago,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaConsulate,5755,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5755,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Istanbul Spokesperson,Türkiye,Turkish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaconsulist,9327,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,9327,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Sydney,Australia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaConSydney,9035,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,9035,100.0,0.0,0.0,0.0,0.0,0.0,False
China Culture,Anglosphere,English,China Daily Press,Ministry of Culture and Tourism,Chinacultureorg,24600,chinacultureorg,4000000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,4024600,0.6,99.4,0.0,0.0,0.0,0.0,True
China Daily,Anglosphere,English,China Daily Press,Central Publicity Department,ChinaDaily,4100000,chinadaily,104613175,chinadailynews,1300000,chinadailynews,40200,ChinaDailyOfficialChannel,337000,chinadailyofficial,1300000,6,High,111690375,3.7,93.7,1.2,0.0,0.3,1.2,True
China Daily EU Bureau,EU,English,China Daily Press,Central Publicity Department,ChinaDaily_EU,1375,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1375,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Life,Anglosphere,English,China Daily Press,Central Publicity Department,ChinaDaily_Life,993,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,993,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Asia,Anglosphere,English,China Daily Press,Central Publicity Department,ChinaDailyAsia,26900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,26900,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily Europe,EU,English,China Daily Press,Central Publicity Department,ChinaDailyEU,10200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,10200,100.0,0.0,0.0,0.0,0.0,0.0,False
China Daily World,Anglosphere,English,China Daily Press,Central Publicity Department,ChinaDailyWorld,1387,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1387,100.0,0.0,0.0,0.0,0.0,0.0,False
China.com (Japanese),Japan,Japanese,China Media Group (CMG),Central Publicity Department,chinadotcom_JP,38100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,38100,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Greece,Greece,Greek,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chinaemb_Hellas,3940,Unknown,0,chinaemb_hellas,1387,Unknown,0,Unknown,0,Unknown,0,2,Medium,5327,74.0,0.0,26.0,0.0,0.0,0.0,True
Chinese Embassy in South Sudan,South Sudan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmb_Juba,1276,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1276,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhao Zhiyuan,Ethiopia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAddis,17200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,17200,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Chile,Chile,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbajada,2479,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2479,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Dominican Republic,Dominican Republic,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbajadaRD,8233,Unknown,0,chinaembajada,6713,Unknown,0,Unknown,0,Unknown,0,2,Medium,14946,55.1,0.0,44.9,0.0,0.0,0.0,True
Chinese Embassy in Algeria,Algeria,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAlgeria,15600,profile.php?id=100064477878508,32000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,47600,32.8,67.2,0.0,0.0,0.0,0.0,False
Chinese Embassy in Angola,Angola,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAngola,4160,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,4160,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Antigua and Barbuda,Antigua and Barbuda,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbAntigua,1779,ChineseEmbassyinAntiguaandBarbuda,113,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1892,94.0,6.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Argentina,Argentina,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbArg,9958,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,9958,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Maldives,Maldives,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbassy_MV,2849,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2849,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Malawi,Malawi,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbassy_MW,3752,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3752,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Albania,Albania,Albanian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaembassyT,3555,ChinaembassyT,11,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,3566,99.7,0.3,0.0,0.0,0.0,0.0,False
Chinese Embassy in Austria,Austria,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaembaustria,6804,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6804,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Bahrain,Bahrain,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbBahrain,1501,profile.php?id=100090874324645,1100000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1101501,0.1,99.9,0.0,0.0,0.0,0.0,True
Chinese Embassy in Rep. of Congo (Brazzaville),Rep. of Congo,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinaembcongobz,3161,Unknown,0,Unknown,0,Unknown,0,Unknown,0,ambassadechineaucongo,35,2,Medium,3196,98.9,0.0,0.0,0.0,0.0,1.1,True
Chinese Embassy in Croatia,Croatia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbCroatia,1625,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1625,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Belgium,Belgium,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmBE,1257,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1257,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Eritrea,Eritrea,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbEritrea,5816,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5816,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Spain,Spain,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbEsp,27300,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,27300,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Germany,Germany,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbGermany,7946,Unknown,0,chinesische.botschaft,527,Unknown,0,Unknown,0,Unknown,0,2,Medium,8473,93.8,0.0,6.2,0.0,0.0,0.0,True
Chinese Embassy in Grenada,Grenada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbGrenada,6585,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6585,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Switzerland,Switzerland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinCH,7930,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7930,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Ghana,Ghana,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinGH,5437,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5437,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Mauritania,Mauritania,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinMR,3033,profile.php?id=100064680614335,4200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,7233,41.9,58.1,0.0,0.0,0.0,0.0,False
Chinese Embassy in New Zealand,New Zealand,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbInNZ,1074,ChineseEmbassyInNZ,2100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,3174,33.8,66.2,0.0,0.0,0.0,0.0,False
Chinese Embassy in Rwanda,Rwanda,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbinRW,2316,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2316,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Ireland,Ireland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbIreland,5150,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5150,100.0,0.0,0.0,0.0,0.0,0.0,False
Zhao Xing,Afghanistan,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKabul,27400,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,27400,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Kazakhstan,Kazakhstan,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKazakh,3126,Unknown,0,chinaembkazakh,2527,Unknown,0,Unknown,0,Unknown,0,2,Medium,5653,55.3,0.0,44.7,0.0,0.0,0.0,True
Chinese Embassy in Saudi Arabia,Saudi Arabia,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKSA,17000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,17000,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Kuwait,Kuwait,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbKuwait,3651,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3651,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Lesotho,Lesotho,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbLesotho,1240,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1240,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Malta,Malta,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbMalta,2356,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2356,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Philippines,Philippines,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chinaembmanila,14600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,14600,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Namibia,Namibia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbNamibia,1890,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1890,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Netherlands,Netherlands,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbNL,5805,chinaembnl,100000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,105805,5.5,94.5,0.0,0.0,0.0,0.0,False
Chinese Embassy in Canada,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbOttawa,15500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,chineseembassyincanada,0,1,Low,15500,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Peru,Peru,Spanish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbPeru,11900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,11900,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Poland,Poland,Polish,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbPoland,6868,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6868,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Portugal,Portugal,Portuguese,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbPt,2896,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2896,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Sri Lanka,Sri Lanka,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbSL,25600,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,25600,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Slovakia,Slovakia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmbSVK,5439,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5439,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Slovenia,Slovenia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEmSlovenia,5058,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5058,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in EU,EU,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaEUMission,25900,Unknown,0,Unknown,0,Unknown,0,missionofchinatotheeu3586,350,Unknown,0,2,Medium,26250,98.7,0.0,0.0,0.0,1.3,0.0,True
China.org.cn (French),la Francophonie,French,China International Communications Group (CICG),Central Publicity Department,chinafrance,23600,Unknown,0,china.org.cn_fr,4222,Unknown,0,Unknown,0,Unknown,0,2,Medium,27822,84.8,0.0,15.2,0.0,0.0,0.0,True
Chinese Embassy in Denmark,Denmark,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaInDenmark,2128,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2128,100.0,0.0,0.0,0.0,0.0,0.0,False
Qian Minjian,Lebanon,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinainLebanon,12700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12700,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Vancouver,Canada,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinainVan,2168,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2168,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Iraq,Iraq,Arabic,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaIraq,13200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,13200,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in United Nations (NYC),UN,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chinamission2un,141500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,141500,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Switzerland (UN Missions),Switzerland,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaMissionGva,5316,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5316,100.0,0.0,0.0,0.0,0.0,0.0,False
China.org.cn (English),Anglosphere,English,China International Communications Group (CICG),Central Publicity Department,chinaorgcn,1000000,chinaorgcn,34162330,chinaorgcnnews,103,Unknown,0,Unknown,0,Unknown,0,3,Medium,35162433,2.8,97.2,0.0,0.0,0.0,0.0,True
China Plus Podcasts,Anglosphere,English,China Media Group (CMG),Central Publicity Department,ChinaPlusPods,7272,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7272,100.0,0.0,0.0,0.0,0.0,0.0,False
People's Daily China Science,Anglosphere,English,People's Daily Press,Central Committee of the Chinese Communist Party,ChinaScience,2000000,PDChinaScience/,5800000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,7800000,25.6,74.4,0.0,0.0,0.0,0.0,True
State Council Information Office (SCIO),Anglosphere,English,State Council Information Office (SCIO),State Council,chinascio,55200,Unknown,0,Unknown,0,china_scio,77,ChinaSCIO,1740,Unknown,0,3,Medium,57017,96.8,0.0,0.0,0.1,3.1,0.0,True
Wang Xiaojian,India,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChinaSpox_India,12900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12900,100.0,0.0,0.0,0.0,0.0,0.0,False
China Today,Anglosphere,English,China International Communications Group (CICG),Central Publicity Department,chinatoday_com,471,chinatodayreport,14315,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,14786,3.2,96.8,0.0,0.0,0.0,0.0,False
China Youth Daily,China,Chinese,China Youth Daily Press,Central Committee of the Communist Youth League,ChinaYouthOL,147,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,147,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Mali,Mali,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,Chine_au_Mali,4741,AmbChineMali,3900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,8641,54.9,45.1,0.0,0.0,0.0,0.0,False
Chinese Embassy in Guinea,Guinea,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chine_guinee,5545,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5545,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Sénégal,Senegal,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineAmbassade,1481,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1481,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Djibouti,Djibouti,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineAmbDjibout,3205,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3205,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Morocco,Morocco,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineAmbMaroc,3360,ChineAmbMaroc,1100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,4460,75.3,24.7,0.0,0.0,0.0,0.0,False
Liu Jin,Gambia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseAmb_GM,1617,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1617,100.0,0.0,0.0,0.0,0.0,0.0,False
Kong Xianhua,India,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseCGMumbai,1873,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1873,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Melbourne,Australia,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ChineseCon_Mel,2881,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2881,100.0,0.0,0.0,0.0,0.0,0.0,False
