Name EN,Name CN,Focus Region,Language,Entity Owner EN,Entity Owner CN,Parent Entity EN,Parent Entity CN,X (Twitter) Handle,X (Twitter) Followers,Facebook Handle,Facebook Followers,Instagram Handle,Instagram Followers,Threads Handle,Threads Followers,YouTube Handle,YouTube Followers,TikTok Handle,TikTok Followers,Total Social Media Presence,Platform Presence Category,Total Followers,Twitter Dominance,Facebook Dominance,Instagram Dominance,Threads Dominance,YouTube Dominance,TikTok Dominance,IQR based Outlier
Chinese Embassy in EU,Unknown,EU,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaEUMission,25900,Unknown,0,Unknown,0,Unknown,0,missionofchinatotheeu3586,350,Unknown,0,2,Medium,26250,98.7,0.0,0.0,0.0,1.3,0.0,True
China.org.cn (French),Unknown,la Francophonie,French,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,chinafrance,23600,Unknown,0,china.org.cn_fr,4222,Unknown,0,Unknown,0,Unknown,0,2,Medium,27822,84.8,0.0,15.2,0.0,0.0,0.0,True
Chinese Embassy in Denmark,Unknown,Denmark,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaInDenmark,2128,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2128,100.0,0.0,0.0,0.0,0.0,0.0,False
Qian Minjian,Unknown,Lebanon,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinainLebanon,12700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12700,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Vancouver,Unknown,Canada,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinainVan,2168,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2168,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Iraq,Unknown,Iraq,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaIraq,13200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,13200,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in United Nations (NYC),Unknown,UN,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Chinamission2un,141500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,141500,100.0,0.0,0.0,0.0,0.0,0.0,True
Chinese Embassy in Switzerland (UN Missions),Unknown,Switzerland,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaMissionGva,5316,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5316,100.0,0.0,0.0,0.0,0.0,0.0,False
China.org.cn (English),中国网,Anglosphere,English,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,chinaorgcn,1000000,chinaorgcn,34162330,chinaorgcnnews,103,Unknown,0,Unknown,0,Unknown,0,3,Medium,35162433,2.8,97.2,0.0,0.0,0.0,0.0,True
China Plus Podcasts,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,ChinaPlusPods,7272,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,7272,100.0,0.0,0.0,0.0,0.0,0.0,False
People's Daily China Science,Unknown,Anglosphere,English,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,ChinaScience,2000000,PDChinaScience/,5800000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,7800000,25.6,74.4,0.0,0.0,0.0,0.0,True
State Council Information Office (SCIO),国务院新闻办公室,Anglosphere,English,State Council Information Office (SCIO),国务院新闻办公室,State Council,中华人民共和国国务院,chinascio,55200,Unknown,0,Unknown,0,china_scio,77,ChinaSCIO,1740,Unknown,0,3,Medium,57017,96.8,0.0,0.0,0.1,3.1,0.0,True
Wang Xiaojian,Unknown,India,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChinaSpox_India,12900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,12900,100.0,0.0,0.0,0.0,0.0,0.0,False
China Today,今日中国,Anglosphere,English,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,chinatoday_com,471,chinatodayreport,14315,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,14786,3.2,96.8,0.0,0.0,0.0,0.0,False
China Youth Daily,中国青年报,China,Chinese,China Youth Daily Press,中国青年报社,Central Committee of the Communist Youth League,共青团中央,ChinaYouthOL,147,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,147,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Mali,中国驻马里大使馆,Mali,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Chine_au_Mali,4741,AmbChineMali,3900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,8641,54.9,45.1,0.0,0.0,0.0,0.0,False
Chinese Embassy in Guinea,中华人民共和国驻几内亚共和国大使馆,Guinea,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chine_guinee,5545,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5545,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Sénégal,Unknown,Senegal,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineAmbassade,1481,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1481,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Djibouti,Unknown,Djibouti,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineAmbDjibout,3205,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3205,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Morocco,Unknown,Morocco,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineAmbMaroc,3360,ChineAmbMaroc,1100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,4460,75.3,24.7,0.0,0.0,0.0,0.0,False
Liu Jin,刘晋,Gambia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseAmb_GM,1617,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1617,100.0,0.0,0.0,0.0,0.0,0.0,False
Kong Xianhua,Unknown,India,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseCGMumbai,1873,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1873,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Melbourne,Unknown,Australia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseCon_Mel,2881,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2881,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Fiji,Unknown,Fiji,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmb_FJ,3216,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3216,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Papua New Guinea,Unknown,Papua New Guinea,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmb_PNG,6257,ChineseEmbPNG,2100,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,8357,74.9,25.1,0.0,0.0,0.0,0.0,False
Chinese Embassy in Uganda,Unknown,Uganda,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmb_Uga,10800,Chinese.Emb.Uga,1500,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,12300,87.8,12.2,0.0,0.0,0.0,0.0,False
Chinese Embassy in Thailand,Unknown,Thailand,Thai,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,chineseembassy1,977,Unknown,0,Unknown,0,Unknown,0,Unknown,0,chineseembassyinthailand,0,1,Low,977,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Jordan,中国驻约旦使馆,Jordan,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseembassyJ,5365,Chinaemb.Jordan,4900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,10265,52.3,47.7,0.0,0.0,0.0,0.0,False
Chinese Embassy in Hungary,Unknown,Hungary,Hungarian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinHU,6367,ChinaEmbHungar,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6367,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Montenegro,Unknown,Montenegro,Serbian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinMNE,1514,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1514,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Russia,中国驻俄罗斯大使馆,Russia,Russian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinRus,27200,AmbasadaChineiinRomania,20000,Unknown,0,Unknown,0,Unknown,0,chineseembinrus,576,3,Medium,47776,56.9,41.9,0.0,0.0,0.0,1.2,True
Chinese Embassy in United Kingdom (UK),中国驻英国大使馆,UK,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinUK,43700,Unknown,0,Unknown,0,Unknown,0,chineseembassyinuk4659,297,chineseembassyinuk,139,3,Medium,44136,99.0,0.0,0.0,0.0,0.7,0.3,True
Chinese Embassy in United States,Unknown,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbinUS,118100,ChineseEmbassyinUS,55000,Unknown,0,Unknown,0,Unknown,0,chineseembassyinus,29200,3,Medium,202300,58.4,27.2,0.0,0.0,0.0,14.4,True
Chinese Embassy in Kenya,Unknown,Kenya,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbKenya,15800,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,15800,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Yemen,中国驻也门大使馆,Yemen,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbtoYEM,62700,chineseembtoyemen,6800,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,69500,90.2,9.8,0.0,0.0,0.0,0.0,True
Chinese Embassy in Tanzania,Unknown,Tanzania,Swahili,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEmbTZ,15800,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,15800,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Estonia,Unknown,Estonia,Estonian,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseEstonia,1409,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1409,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Liberia,Unknown,Liberia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseLiberia,6373,CNAmbLR,595,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,6968,91.5,8.5,0.0,0.0,0.0,0.0,False
Chinese Embassy in Somalia,Unknown,Somalia,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseSomalia,12200,chinainsa,75000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,87200,14.0,86.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Zimbabwe,Unknown,Zimbabwe,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChineseZimbabwe,17200,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,17200,100.0,0.0,0.0,0.0,0.0,0.0,False
Chloé Zhou,Unknown,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,chloezhou21,897,Chloezhoubeijing,1000000,chloezhou21,1668,Unknown,0,chloezhou11,930,Unknown,0,4,High,1003495,0.1,99.7,0.2,0.0,0.1,0.0,True
Chinese Embassy in Egypt,中国驻埃及大使馆,Egypt,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHN_EGY,3092,hineseEmbinEgypt,48000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,51092,6.1,93.9,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Osaka,中華人民共和国駐大阪総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsul_osaka,21400,Unknown,0,Unknown,0,Unknown,0,user-kr2ke5sy6b,1700,Unknown,0,2,Medium,23100,92.6,0.0,0.0,0.0,7.4,0.0,True
Chinese Consulate General in Fukuoka,中華人民共和国駐福岡総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateFuk,2959,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2959,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Johannesburg,Unknown,South Africa,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateJhb,1324,Unknown,0,Unknown,0,Unknown,0,Unknown,0,chnconsulategeneraljhb,56,2,Medium,1380,95.9,0.0,0.0,0.0,0.0,4.1,True
Chinese Consulate General in Nagasaki,中華人民共和国駐長崎総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateNag,992,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,992,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Nagoya,中華人民共和国駐名古屋総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateNgo,3339,Unknown,0,Unknown,0,Unknown,0,user-vz3fv8md2p,11,Unknown,0,2,Medium,3350,99.7,0.0,0.0,0.0,0.3,0.0,True
Chinese Consulate General in Niigata,中華人民共和国駐新潟総領事館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnConsulateNgt,3130,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,3130,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Japan,中華人民共和国駐日本国大使館,Japan,Japanese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnEmbassy_jp,102400,profile.php?id=100072261466319,189,Unknown,0,Unknown,0,Unknown,0,chnembassy_jp,184,3,Medium,102773,99.6,0.2,0.0,0.0,0.0,0.2,True
Chinese Embassy in Sudan,‎中国驻苏丹大使馆,Sudan,Arabic,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHNembinSudan,6098,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,6098,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Embassy in Suriname,Unknown,Suriname,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CHNEmbSuriname,1261,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1261,100.0,0.0,0.0,0.0,0.0,0.0,False
Liu Yuyin,Unknown,UN,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ChnMission,1755,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1755,100.0,0.0,0.0,0.0,0.0,0.0,False
China International Development Cooperation Agency (CIDCA),Unknown,Anglosphere,English,China International Development Cooperation Agency (CIDCA),国家国际发展合作署,State Council,中华人民共和国国务院,cidcaofficial,37900,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,37900,100.0,0.0,0.0,0.0,0.0,0.0,True
CRI Italian (Radio Cina Internazionale),Unknown,Italy,Italian,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cinitalia,2228,CriItaliano,939000,Unknown,0,Unknown,0,CINITALIA,3920,Unknown,0,3,Medium,945148,0.2,99.3,0.0,0.0,0.4,0.0,True
Yangtze View World,长江新闻号,Hubei,Chinese,Hubei Radio & Television Station (HBTV),湖北广播电视台,Hubei Provincial People's Government,湖北省人民政府,cjxwh_hbtv,1153,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,1153,100.0,0.0,0.0,0.0,0.0,0.0,False
CGTN Closer to China,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,closertochina,8795,cgtnclosertochina,167000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,175795,5.0,95.0,0.0,0.0,0.0,0.0,False
China Content Center,Unknown,China,Chinese,"Shanghai Guanchazhe Information Technology Co.,Ltd",上海观察者信息技术有限公司,Shanghai Academy of Social Sciences (SASS),上海社会科学院,CNContentCenter,43200,Unknown,0,Unknown,0,Unknown,0,chinacontentcenter,600000,Unknown,0,2,Medium,643200,6.7,0.0,0.0,0.0,93.3,0.0,True
China News Service (CNS) Agency,中國新聞社,China,Chinese,China News Service (CNS),北京中新网信息科技有限公司,United Front Work Department,中共中央统一战线工作部,CNS1952,494700,ChinaNewsService,1200000,Unknown,0,Unknown,0,cnsvideo,193000,chinanewsservice,32300,4,High,1920000,25.8,62.5,0.0,0.0,10.1,1.7,True
CRI Polish,Unknown,Poland,Polish,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CoChwila,567,redakcjapolska,388000,Unknown,0,Unknown,0,ChinyDziendobry,896,Unknown,0,3,Medium,389463,0.1,99.6,0.0,0.0,0.2,0.0,True
Xu Zhike (Coco Studio),Unknown,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CocoStudio4,982,CocoStudioenChine/,1300000,cocostudioenchine,4256,Unknown,0,CocoStudioenChine,156000,cocoenchine,142100,5,High,1603338,0.1,81.1,0.3,0.0,9.7,8.9,True
Chinese Consulate General in Strasbourg,Unknown,France,French,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,consulat_de,2457,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2457,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in San Francisco,Unknown,USA,English,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ConsulateSan,4221,Unknown,0,chineseconsulate,462,Unknown,0,user-cq4mw4or9e,16,Unknown,0,3,Medium,4699,89.8,0.0,9.8,0.0,0.3,0.0,True
Chinese Consulate General in Barcelona,中国驻巴塞罗那总领馆,Spain,Spanish,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ConsulChinaBcn,4495,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,4495,100.0,0.0,0.0,0.0,0.0,0.0,False
Chinese Consulate General in Rio de Janeiro,Unknown,Brazil,Portuguese,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ConsulChinaRJ,2474,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,2474,100.0,0.0,0.0,0.0,0.0,0.0,False
CMG Hindi,Unknown,India,Hindi,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cri_hindi,52,cmghindiservice,11000000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,11000052,0.0,100.0,0.0,0.0,0.0,0.0,True
CRI Türkçe,Unknown,Türkiye,Turkish,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRI_Turkish,85200,criturkfm,116000,criturkish,56500,criturkish,493,criturk,44400,Unknown,0,5,High,302593,28.2,38.3,18.7,0.2,14.7,0.0,True
CRI Arabic,Unknown,MENA,Arabic,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,criarabic,22200,criarabic1,2700000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,2722200,0.8,99.2,0.0,0.0,0.0,0.0,True
CRI Breaking News,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIbrk,437,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,437,100.0,0.0,0.0,0.0,0.0,0.0,False
CRI Français,Unknown,la Francophonie,French,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CriFrancais,72900,profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts,2500000,cri_francais,11000,Unknown,0,Unknown,0,Unknown,0,3,Medium,2583900,2.8,96.8,0.4,0.0,0.0,0.0,True
CRI German,Unknown,Germany,German,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIGerman1,54,CRIGerman,897000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,897054,0.0,100.0,0.0,0.0,0.0,0.0,True
CRI Greek,Unknown,Greece,Greek,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,crigreek,224,profile.php?id=100068848134907,155000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,155224,0.1,99.9,0.0,0.0,0.0,0.0,False
CRI Hausa,Unknown,Nigeria,Hausa,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIHausaRadio,1275,CGTNHausa,1400000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1401275,0.1,99.9,0.0,0.0,0.0,0.0,True
CRI Japanese,CRI日本語,Japan,Japanese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIjpn,23300,japanese.cri,5900000,Unknown,0,Unknown,0,cri8511,3680,Unknown,0,3,Medium,5926980,0.4,99.5,0.0,0.0,0.1,0.0,True
CRI Pashto,Unknown,Afghanistan,Pashto,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cripashto,59,pushtu.cri.cn,3200000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,3200059,0.0,100.0,0.0,0.0,0.0,0.0,True
CRI Sinhala,Unknown,Sri Lanka,Sinhalese,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CRIsinhala,126,crisrilanka,1500000,Unknown,0,Unknown,0,Unknown,0,Unknown,0,2,Medium,1500126,0.0,100.0,0.0,0.0,0.0,0.0,True
CRI Urdu,Unknown,Pakistan,Urdu,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,criurdu,82,CRIurdu,3200,Unknown,0,Unknown,0,urducri6294,3870,Unknown,0,3,Medium,7152,1.1,44.7,0.0,0.0,54.1,0.0,True
China State Construction (CSCEC),中国建筑集团有限公司,Anglosphere,English,China State Construction Engineering (CSCEC),中国建筑集团有限公司,State Council,中华人民共和国国务院,CSCECNEWS,128900,CSCECNews,1100000,china_state_construction,34400,Unknown,0,CSCECNews,5650,Unknown,0,4,High,1268950,10.2,86.7,2.7,0.0,0.4,0.0,True
Zhu Danni (Danni Zhu),Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Danni_Zhu131,21,Unknown,0,iamdanni131,54,iamdanni131,15,Unknown,0,Unknown,0,3,Medium,90,23.3,0.0,60.0,16.7,0.0,0.0,True
CRI Mongolian,Unknown,Mongolia,Mongolian,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,delkhiintsag,0,mongolradio,5700,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,5700,0.0,100.0,0.0,0.0,0.0,0.0,False
Wang Di'er (Deer Wang),王迪迩,Anglosphere,English,Xinhua News Agency,新华社,State Council,中华人民共和国国务院,dier0806,258,Deer-Wang-111316794562651,2600,w.dier,139,Unknown,0,dierwang4537,309,Unknown,0,4,High,3306,7.8,78.6,4.2,0.0,9.3,0.0,True
Ding Heng,Unknown,Anglosphere,English,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,DingHeng6,67,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,67,100.0,0.0,0.0,0.0,0.0,0.0,False
DIOC,国际组织和会议部,China,Chinese,Department of International Organizations and Conferences (DIOC),外交部国际组织和会议部,Ministry of Foreign Affairs,中华人民共和国外交部,DIOC_MFA_China,707,Unknown,0,Unknown,0,Unknown,0,Unknown,0,Unknown,0,1,Low,707,100.0,0.0,0.0,0.0,0.0,0.0,False
Discover Binhai,Unknown,Anglosphere,English,Department of Culture and Tourism of Tianjin Binhai District,天津市滨海区文化和旅游厅,People's Government of Tianjin Binhai New Area,天津滨海新区人民政府,discoverbinhai,5112,DiscoverBinhai/,1300,Unknown,0,Unknown,0,Unknown,0,discoverbinhai,36,3,Medium,6448,79.3,20.2,0.0,0.0,0.0,0.6,True
Discover Guangxi,Unknown,Anglosphere,English,Department of Culture and Tourism of Guangxi Zhuang Autonomous Region,广西壮族自治区文化和旅游厅,People's Government of Guangxi Zhuang Autonomous Region,广西壮族自治区人民政府,DiscoverGuangxi,10700,DiscoverGuangxi,115000,discover_guangxi,2009,Unknown,0,Unknown,0,discoverguangxichina,9,4,High,127718,8.4,90.0,1.6,0.0,0.0,0.0,True
Discover Jilin,Unknown,Anglosphere,English,Department of Culture and Tourism of Jilin Province,吉林省文化和旅游厅,Jilin Provincial People's Government,吉林省人民政府,DiscoverJilin,3627,discoverjilin,94000,discoverjilin,42700,Unknown,0,DiscoverJilin,1400,discoverjilin,5883,5,High,147610,2.5,63.7,28.9,0.0,0.9,4.0,True
